🕘️公告,#genre#
更新时间,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
2025/09/27,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
野草口令7B28,https://cccimg.com/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
❤️永久维护,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
❤️觉得好用,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
❤️请打赏观看,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
九屏高清,http://plex.home.yulei.online:9999/rtp/226.0.2.197:9488$山西联通
中国天气,http://plex.home.yulei.online:9999/rtp/226.0.2.103:8736$山西联通
每日经济,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8
澎湃景区,https://play-a2.quklive.com/live/1732442296010229.m3u8
长江烟花秀,https://video.cjyun.org/fs/record/20250912/3b3/ts/index.m3u8 

❤️东方卫视4K,http://cdn.jdshipin.com/kkxw.php?id=1
❤️北京卫视4K,http://nas.201606.xyz:4022/rtp/239.10.0.91:5140
❤️深圳卫视4K,https://cdn3.163189.xyz/163189/szws4k
❤️广东卫视4K,http://nas.201606.xyz:4022/rtp/239.10.0.94:5140#http://106.53.99.30/tv/api.php?id=gdws
❤️广东综艺4K,http://117.141.162.238:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0$广西/玉林/移动
❤️河南卫视4K,http://1.199.161.129:8822/rtp/239.16.20.199:11990$河南电信
❤️苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
淘电影,http://123.113.70.190:2321/rtp/239.3.1.250:8001$北京联通
CHC动作电影,http://m.061899.xyz/mg/dzdy
CHC影迷电影,http://m.061899.xyz/mg/ymdy
CHC家庭影院,http://m.061899.xyz/mg/jtyy
电影《天若有情》,https://cdn.yzzy28-play.com/20250703/7135_604f2c31/2000k/hls/mixed.m3u8
点歌台,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
小姐姐舞蹈,http://lxajh.top/tv/douyu.php?id=10308225
小姐姐热舞,http://lxajh.top/tv/douyu.php?id=10308312

📺央卫网络,#genre#
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17
cctv美洲,http://m.061899.xyz/mg/cctv4m
cctv欧洲,http://m.061899.xyz/mg/cctv4o
CETV-01,http://m.061899.xyz/mg/cetv1
CETV-02,http://m.061899.xyz/mg/cetv2
CETV-04,http://m.061899.xyz/mg/cetv4
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx

📡央卫频道,#genre#
山西联通的酒店源(118.81.198.160:9003)共有61个频道
CCTV1,http://118.81.198.160:9003/hls/1/index.m3u8
CCTV2,http://118.81.198.160:9003/hls/2/index.m3u8
CCTV3,http://118.81.198.160:9003/hls/3/index.m3u8
CCTV4,http://118.81.198.160:9003/hls/4/index.m3u8
CCTV5,http://118.81.198.160:9003/hls/5/index.m3u8
CCTV5+,http://118.81.198.160:9003/hls/6/index.m3u8
CCTV6,http://118.81.198.160:9003/hls/7/index.m3u8
CCTV7,http://118.81.198.160:9003/hls/8/index.m3u8
CCTV8,http://118.81.198.160:9003/hls/9/index.m3u8
CCTV9,http://118.81.198.160:9003/hls/10/index.m3u8
CCTV10,http://118.81.198.160:9003/hls/11/index.m3u8
CCTV11,http://118.81.198.160:9003/hls/12/index.m3u8
CCTV12,http://118.81.198.160:9003/hls/13/index.m3u8
CCTV13,http://118.81.198.160:9003/hls/14/index.m3u8
CCTV14,http://118.81.198.160:9003/hls/15/index.m3u8
CCTV15,http://118.81.198.160:9003/hls/16/index.m3u8
CCTV16,http://118.81.198.160:9003/hls/17/index.m3u8
CCTV17,http://118.81.198.160:9003/hls/18/index.m3u8
湖南卫视,http://118.81.198.160:9003/hls/33/index.m3u8
浙江卫视,http://118.81.198.160:9003/hls/49/index.m3u8
江苏卫视,http://118.81.198.160:9003/hls/35/index.m3u8
北京卫视,http://118.81.198.160:9003/hls/20/index.m3u8
东方卫视,http://118.81.198.160:9003/hls/23/index.m3u8
深圳卫视,http://118.81.198.160:9003/hls/43/index.m3u8
湖北卫视,http://118.81.198.160:9003/hls/32/index.m3u8
山西卫视,http://118.81.198.160:9003/hls/19/index.m3u8
安徽卫视,http://118.81.198.160:9003/hls/21/index.m3u8
重庆卫视,http://118.81.198.160:9003/hls/22/index.m3u8
福建卫视,http://118.81.198.160:9003/hls/24/index.m3u8
甘肃卫视,http://118.81.198.160:9003/hls/25/index.m3u8
广东卫视,http://118.81.198.160:9003/hls/26/index.m3u8
